"team_id","team_name","ovr","att","mid","def","budget"
113003,"France Women",84,85,84,82,"-"
113004,"Germany Women",83,83,83,82,"-"
113007,"Norway Women",79,82,82,73,"-"
113008,"Sweden Women",79,80,80,78,"-"
113009,"United States Women",83,84,83,83,"-"
113011,"Holland Women",81,80,83,79,"-"
113012,"Spain Women",85,83,90,85,"-"
114815,"Soccer Aid",89,88,89,89,"-"
115841,"Latium",78,78,76,78,422475
115845,"Bergamo Calcio",79,76,79,78,687000
115995,"Bayern München",82,79,84,81,100000
115997,"Eintracht Frankfurt",78,79,80,78,50000
115998,"VfL Wolfsburg",80,82,82,77,80500
116010,"Chelsea",84,82,83,83,120000
116033,"OL Lyonnes",84,86,82,84,102000
116034,"Paris Saint-Germain",80,79,79,80,94000
116280,"Juventus",78,76,79,77,78000
116282,"Roma",77,77,78,75,60000
116325,"FC Barcelona",85,86,81,86,180000
116326,"Real Madrid",82,83,83,77,91000
131681,"Milano FC",81,82,82,77,1285000
132630,"Zlatan FC",91,91,91,91,"-"
132670,"Serie A Historic",91,92,91,89,"-"
132671,"Bundesliga Historic",89,90,88,89,"-"
132672,"Premier League Historic",88,89,87,87,"-"
132673,"Ligue 1 Historic",89,89,89,88,"-"
132674,"La Liga Historic",90,92,90,88,"-"
132702,"Juventus Historic",88,88,89,87,"-"
132703,"Liverpool Historic",87,87,88,86,"-"
132704,"Real Madrid Historic",90,90,90,88,"-"
132705,"Bayern München Historic",89,89,88,89,"-"
132706,"Chelsea Historic",87,88,87,86,"-"
"team_id","team_name","ovr","att","mid","def","budget"
19,"West Ham United",77,78,77,76,915300
36,"VfB Stuttgart",77,80,77,76,356020
38,"Werder Bremen",75,74,76,74,202000
72,"OGC Nice",75,75,75,74,220000
74,"Stade Rennais",76,76,76,74,170000
76,"RC Strasbourg",75,77,74,76,120000
78,"Celtic",75,73,75,75,80000
169,"1. FSV Mainz 05",75,74,77,75,139560
231,"Club Brugge",74,71,76,74,184000
245,"Ajax",75,77,72,74,525000
246,"Feyenoord",75,75,75,74,375000
247,"PSV",77,77,78,76,445000
266,"Slavia Praha",74,75,74,74,65000
278,"AEK",75,77,74,74,67000
327,"Beşiktaş",75,77,76,73,193000
393,"PAOK",74,76,75,73,80000
450,"RC Celta de Vigo",76,77,75,76,110000
461,"Valencia CF",76,76,76,75,450000
463,"Deportivo Alavés",74,74,74,73,13000
481,"Sevilla FC",76,74,75,76,480000
607,"Al Ittihad",76,83,73,76,113380
1330,"Czech Republic",76,78,75,76,"-"
1355,"Republic of Ireland",74,74,73,75,"-"
1386,"Mexico",77,78,76,75,"-"
1745,"Como",76,77,75,73,300000
1796,"Burnley",75,74,76,74,370000
1860,"Getafe CF",75,73,76,74,45000
10029,"TSG 1899 Hoffenheim",76,75,76,75,330203
110062,"Girona FC",77,76,77,75,8000
110374,"Fiorentina",76,78,75,75,417300
111462,"Ghana",75,81,75,74,"-"
112391,"Al Qadsiah",74,76,75,71,78100
116011,"Tottenham Hotspur",76,71,77,75,37730
116014,"West Ham United",76,77,76,75,52570
116020,"Leicester City",74,73,73,76,25440
116302,"Portland Thorns FC",76,77,77,72,73693
116309,"Kansas City Current",77,83,77,76,104908
116343,"Liverpool",75,73,74,74,55610
8,"Leeds United",76,76,76,76,390000
23,"Borussia M'gladbach",75,76,75,75,308720
25,"SC Freiburg",75,73,75,77,297500
31,"1. FC Köln",74,74,73,72,181055
54,"Torino",76,78,74,76,270600
64,"RC Lens",75,75,76,74,130000
65,"LOSC Lille",76,78,76,76,220000
110,"Wolverhampton Wanderers",76,76,75,75,550000
175,"VfL Wolfsburg",76,80,76,75,338850
189,"Bologna",76,76,77,74,459750
280,"Olympiacos",76,79,76,75,105000
378,"Stade Brestois 29",74,75,73,74,95000
383,"Palmeiras",75,78,76,74,264990
452,"RCD Espanyol",76,75,75,77,65000
453,"RCD Mallorca",76,80,75,78,8000
457,"Real Sociedad",77,82,77,76,155000
468,"Elche CF",74,74,73,75,5000
517,"Botafogo",75,71,75,75,210000
1035,"Atlético Mineiro",75,77,75,76,219990
1041,"Corinthians",73,75,72,74,225000
1043,"Flamengo",76,77,76,75,275010
1048,"Internacional",74,71,73,75,210000
1353,"Poland",77,82,75,77,"-"
1359,"Scotland",76,76,77,75,"-"
1367,"Wales",74,74,75,75,"-"
1831,"1. FC Union Berlin",75,74,74,76,148355
1876,"River Plate",75,75,75,75,240000
1877,"Boca Juniors",75,75,75,73,215000
1886,"Hungary",74,77,74,74,"-"
1896,"Sporting de Braga",74,74,75,74,165000
1906,"AZ",73,74,73,73,175750
2014,"Union Saint-Gilloise",74,72,74,75,100000
100409,"FC Augsburg",74,73,74,74,162100
101085,"Racing Club de Avellaneda",74,74,73,74,95000
111596,"MLS All Stars",75,77,76,69,"-"
111817,"Paris FC",74,73,75,72,160000
111974,"Sassuolo",74,73,74,72,240000
112139,"Al Nassr",76,77,76,75,119390
112387,"Al Ahli",74,74,74,73,146780
113984,"Scotland Women",75,76,80,72,"-"
115362,"Denmark Women",75,77,75,74,"-"
115682,"Portugal Women",75,76,76,74,"-"
115996,"Bayer 04 Leverkusen",75,77,75,75,10000
116002,"SC Freiburg",74,73,74,74,10000
116003,"1. FC Köln",74,75,74,74,5000
116013,"Brighton & Hove Albion",76,73,76,74,25730
116016,"Everton",76,77,76,74,63550
116021,"RB Leipzig",74,70,73,73,5000
116035,"Paris FC",77,73,78,77,35000
116036,"FC Fleury 91",76,73,76,76,9000
116282,"Roma",77,77,78,75,60000
116300,"Seattle Reign FC",74,75,73,71,66618
116305,"Chicago Stars FC",74,70,74,76,56444
116306,"Houston Dash",75,70,77,76,57785
116307,"Orlando Pride",76,79,75,77,60875
116312,"San Diego Wave FC",74,72,77,71,85769
116328,"Athletic Club de Bilbao",75,75,74,76,25000
116336,"Real Sociedad",75,73,78,74,37000
131125,"FC Badalona Women",74,74,73,73,5000
131358,"Benfica",74,75,73,74,6000
131478,"Utah Royals",74,78,74,74,63125
131877,"Poland Women",75,73,77,73,"-"
28,"Hamburger SV",73,73,73,73,195200
50,"Parma",73,72,72,73,256200
55,"Udinese",73,73,73,73,240225
57,"AJ Auxerre",72,72,72,71,65000
88,"Birmingham City",72,73,71,73,60000
94,"Ipswich Town",73,73,73,74,170000
206,"Hellas Verona",73,72,73,71,129825
217,"FC Lorient",72,71,71,72,64500
229,"Anderlecht",72,74,71,71,120000
267,"Sparta Praha",73,75,72,71,65000
436,"Trabzonspor",73,74,72,74,54000
748,"Samsunspor",72,71,73,71,39000
896,"FC Basel",71,69,73,69,70800
900,"BSC Young Boys",71,71,71,70,81300
1356,"Romania",73,72,72,71,"-"
1530,"Angers SCO",72,70,72,72,63000
1861,"UD Almería",72,71,72,71,47000
1874,"Ferencvárosi TC",71,69,71,69,49000
1903,"FC Utrecht",72,72,70,72,105000
1908,"FC Twente",71,71,70,71,125500
1910,"N.E.C. Nijmegen",71,69,71,70,45000
101014,"İstanbul Başakşehir FK",72,73,71,72,59885
101088,"Vélez Sarsfield",73,74,72,72,70000
101100,"Atlético Nacional",71,72,71,71,47500
110468,"Viktoria Plzeň",71,73,71,71,40000
110556,"Genoa",73,73,73,71,256200
110580,"Rosario Central",73,72,73,72,30000
110738,"Pisa",72,71,71,70,97725
111019,"Argentinos Juniors",72,71,73,71,35000
111022,"Belgrano de Córdoba",71,73,72,71,15500
111710,"Defensa y Justicia",71,68,70,71,20500
111811,"Monza",72,73,73,69,95000
116308,"Racing Louisville FC",72,71,74,73,58960
116333,"Levante UD",71,69,68,70,20000
132589,"1. FC Union Berlin",73,74,74,71,3000
12,"Middlesbrough",71,69,72,72,80000
17,"Southampton",72,73,73,71,200000
68,"FC Metz",71,72,71,70,61000
71,"FC Nantes",73,73,72,72,95000
86,"Rangers",73,72,73,71,60000
95,"Leicester City",72,72,73,71,230000
211,"Dinamo Zagreb",72,71,72,71,98000
242,"RC Deportivo",71,70,72,70,75000
347,"Lecce",72,72,71,71,113445
472,"UD Las Palmas",72,68,72,71,45000
567,"Fluminense",72,74,72,72,219990
568,"Cruzeiro",72,75,71,73,219000
673,"Genk",73,72,73,74,130000
819,"FC København",72,73,71,72,55000
918,"FK Bodø/Glimt",71,70,73,70,24000
1041,"Corinthians",73,75,72,74,225000
1334,"Finland",72,74,72,66,"-"
1598,"Bahia",72,74,72,72,210000
1629,"Grêmio",72,72,71,72,210000
1738,"Le Havre AC",71,69,72,72,60000
1794,"Sheffield United",72,70,72,70,130000
1800,"Coventry City",72,73,73,72,72500
1809,"Toulouse FC",72,72,71,74,98000
1837,"Sampdoria",71,71,71,69,110000
1843,"Palermo",71,75,72,71,65700
1853,"Levante UD",73,73,73,73,49000
1884,"Panathinaikos",73,73,74,73,55000
1906,"AZ",73,74,73,73,175750
1919,"Bristol City",71,71,71,71,65000
1947,"Wrexham",71,70,71,70,30000
1952,"Hull City",71,74,71,71,70250
101047,"Dynamo Kyiv",72,69,73,71,100000
101059,"Shakhtar Donetsk",72,71,73,73,160000
101083,"Estudiantes de La Plata",73,76,73,72,65500
101112,"Vancouver Whitecaps",71,76,72,68,173500
110081,"Northern Ireland",71,65,71,70,"-"
110329,"FC St. Pauli",72,72,72,71,66243
110395,"Lanús",72,73,72,70,45000
110827,"Real Oviedo",73,72,73,73,5000
111052,"Fortaleza",71,71,71,71,180000
111114,"Saudi Arabia",71,71,72,69,"-"
111235,"1. FC Heidenheim",72,73,72,72,48222
111434,"Cremonese",73,74,72,71,50025
112809,"Famalicão",71,69,71,70,40000
113010,"Mexico Women",73,75,73,72,"-"
115999,"TSG 1899 Hoffenheim",73,74,72,73,13000
116001,"SGS Essen",73,74,72,73,4000
116004,"Werder Bremen",73,75,73,72,6000
116037,"Montpellier HSC",71,71,68,76,12000
116039,"Dijon FCO",72,73,72,70,2500
116303,"North Carolina Courage",72,72,73,72,59250
116311,"Angel City FC",73,72,77,69,204750
116332,"Costa Adeje Tenerife",73,71,75,72,10000
116334,"Madrid CFF",72,74,75,71,18000
116337,"Sevilla FC",73,75,75,70,21000
116416,"Le Havre AC",72,73,71,70,5500
116417,"FC Nantes",72,72,70,74,1500
116428,"Iceland Women",73,73,73,73,"-"
131124,"Finland Women",72,73,72,72,"-"
131391,"Granada CF",71,72,74,67,8000
131477,"Bay FC",73,82,69,74,87426
131720,"RC Deportivo",72,76,71,68,3000
131724,"RC Strasbourg",71,73,69,71,1500
131733,"RCD Espanyol",71,71,72,70,5000
132370,"Olympique de Marseille",71,80,72,70,6500
34,"FC Schalke 04",70,76,68,71,63201
80,"Heart of Midlothian",70,67,69,69,9500
160,"VfL Bochum",70,70,68,70,54300
205,"Venezia",70,70,72,68,120000
230,"Antwerp",69,71,69,69,120000
232,"Standard Liège",70,70,69,69,82000
271,"AGF",70,69,69,71,16000
324,"Servette FC",69,68,70,68,22850
462,"Real Valladolid",69,69,70,69,11000
485,"Hannover 96",70,69,70,70,85115
674,"Gent",70,70,71,69,147000
693,"Chicago Fire FC",69,76,65,67,285500
697,"Los Angeles Galaxy",70,67,71,68,850000
1744,"Modena",69,69,69,69,30000
1887,"Vitória de Guimarães",69,70,68,69,60000
1951,"Oxford United",69,68,69,69,13000
10032,"FC Lugano",70,71,69,69,70350
10846,"Burgos CF",69,69,69,67,2540
100632,"Go Ahead Eagles",69,68,67,71,42500
100761,"FCSB",69,72,68,67,13000
100888,"CD Leganés",70,67,70,70,10750
101026,"Göztepe",69,69,68,68,38500
101037,"Çaykur Rizespor",69,71,68,69,38100
110396,"Newell's Old Boys",69,70,66,69,24000
110502,"SV Darmstadt 98",70,72,70,69,34100
110953,"Instituto de Córdoba",70,67,69,66,7500
111144,"Seattle Sounders",70,71,71,69,308000
111339,"Kasımpaşa",70,72,69,70,30000
111711,"Huracán",70,69,69,70,18300
112670,"Talleres de Córdoba",71,60,71,70,50000
112689,"Platense",70,71,70,68,8000
112716,"Cerro Porteño",70,71,69,69,43998
112883,"Al Khaleej",69,75,70,66,6580
112893,"Inter Miami",70,82,70,65,1050000
114326,"Raków Częstochowa",70,70,69,70,13358
114640,"Charlotte FC",70,68,72,69,170000
116044,"AS Saint-Étienne",70,71,70,70,4000
132533,"Hamburger SV",70,70,70,70,3000
3,"Blackburn Rovers",69,69,70,69,39000
15,"Queens Park Rangers",70,68,71,70,35000
29,"1. FC Kaiserslautern",69,69,70,68,26800
89,"Charlton Athletic",69,67,68,69,12500
91,"Derby County",69,71,69,69,13000
97,"Millwall",70,70,70,71,22000
109,"West Bromwich Albion",70,70,71,70,80000
166,"Hertha BSC",70,69,70,69,124330
171,"1. FC Nürnberg",69,68,70,69,56700
191,"RB Salzburg",69,70,69,69,240000
263,"Hajduk Split",70,71,70,69,45000
300,"Viking FK",69,69,70,69,10000
320,"Malmö FF",69,68,68,69,33000
379,"Stade de Reims",69,68,68,70,48000
456,"Racing de Santander",70,71,70,67,4400
459,"Real Sporting de Gijón",70,74,71,69,17000
569,"Vasco da Gama",70,70,69,70,189990
576,"Holstein Kiel",69,69,70,69,22400
670,"Charleroi",69,69,70,69,37000
687,"Columbus Crew",69,66,70,68,194000
744,"Rio Ave",70,71,68,70,22000
873,"Lech Poznań",70,74,69,70,16588
1719,"EC Vitória",69,68,70,70,67500
1792,"Norwich City",70,71,70,69,120000
1795,"Watford",70,67,70,70,70000
1801,"Preston North End",70,70,71,69,20000
1806,"Stoke City",70,69,70,70,40000
1819,"AS Saint-Étienne",70,72,69,69,40000
1832,"Karlsruher SC",69,69,69,69,16842
1848,"Bari",69,69,69,67,30000
1871,"Legia Warszawa",69,68,69,70,15262
1891,"Nacional da Madeira",69,68,68,68,10000
1919,"Bristol City",71,71,71,71,65000
1960,"Swansea City",70,70,70,71,70500
1968,"Cádiz CF",69,67,69,68,5000
10020,"Estoril",70,72,68,69,30000
100087,"OH Leuven",69,63,69,70,35000
101020,"Kayserispor",69,69,70,68,25500
101032,"Kocaelispor",69,72,67,71,11000
101033,"Konyaspor",69,70,68,70,26000
101110,"Peñarol",70,70,71,70,43200
110776,"Gaziantep FK",70,72,69,71,21000
110986,"LDU Quito",69,68,68,68,36000
111014,"Universitario de Deportes",69,71,70,70,30530
111114,"Saudi Arabia",71,71,72,69,"-"
111138,"Minnesota United FC",69,71,71,68,150000
111140,"Portland Timbers",69,69,70,69,201000
111325,"Nacional",70,68,71,71,47000
111527,"Qatar",69,67,67,64,"-"
111701,"Al Ain FC (UAE)",70,78,70,67,76000
111716,"Unión de Santa Fe",69,70,70,68,11000
112513,"Arouca",70,68,69,69,25000
112828,"New York City FC",69,69,69,68,326500
112996,"Los Angeles FC",71,75,69,70,1100000
113142,"Corendon Alanyaspor",70,68,69,68,27500
113996,"Argentina Women",70,67,67,69,"-"
114510,"Casa Pia",70,69,67,70,17000
131359,"Ajax",70,70,69,72,10000
131360,"Slavia Praha",70,68,71,69,3000
131386,"1. FC Nürnberg",70,68,71,70,3000
131391,"Granada CF",71,72,74,67,8000
131798,"NEOM SC",70,78,70,68,48030
77,"Aberdeen",68,70,69,64,7500
159,"Arminia Bielefeld",68,68,68,67,20100
200,"Pescara",68,65,68,67,13995
209,"Sturm Graz",68,67,70,67,76000
252,"LASK",69,70,69,68,37500
254,"SK Rapid",68,67,68,69,56000
269,"Brøndby IF",69,62,70,69,26000
301,"Widzew Łódź",69,69,68,67,11384
308,"Universitatea Craiova",68,67,68,68,10900
537,"Dender",68,69,65,67,10000
680,"Sint-Truiden",68,60,68,67,40000
681,"Westerlo",68,67,68,70,55000
698,"Houston Dynamo",68,70,68,69,188000
982,"FC Seoul",69,68,66,68,16630
1013,"San Lorenzo de Almagro",68,71,66,69,135000
1438,"Santa Clara",69,70,68,70,28000
1473,"Ulsan HD FC",68,69,67,67,17080
1477,"Jeonbuk Hyundai Motors",69,69,70,66,17730
1750,"Cercle Brugge",68,67,67,68,60000
1807,"Sheffield Wednesday",68,67,67,65,13500
1867,"Córdoba CF",68,68,69,68,5300
1900,"Moreirense",68,65,69,68,23000
1923,"Luton Town",68,68,67,68,25000
10030,"SC Paderborn 07",68,67,69,69,31250
15029,"Universidad de Chile",68,67,68,68,42000
100757,"Dinamo București",68,67,69,68,7700
101025,"Gençlerbirliği",68,69,67,68,16500
101084,"Gimnasia y Esgrima La Plata",68,66,67,69,10000
110404,"Banfield",68,69,67,67,15300
110588,"1. FC Magdeburg",68,67,68,69,14730
110915,"Cesena",68,67,68,68,36150
111020,"Independiente Rivadavia",69,72,68,68,6500
111674,"Al Shabab",68,66,71,64,32530
111706,"Godoy Cruz",69,66,70,69,19500
111707,"Aldosivi",68,66,67,67,8200
111708,"Atlético Tucumán",68,72,65,67,20000
112096,"Al Ettifaq",68,71,72,65,28750
112393,"Al Taawoun",68,65,74,63,25860
112494,"Südtirol",68,67,67,67,24600
112713,"Sarmiento",68,68,67,66,5000
113018,"St. Louis City SC",68,69,67,67,175000
113044,"Barracas Central",68,69,68,68,7000
114162,"Nashville SC",68,66,69,67,180000
131463,"AVS Futebol SAD",68,67,68,69,8500
70,"Montpellier HSC",68,70,67,69,45000
81,"Hibernian",68,68,68,67,7500
310,"FC Rapid",68,66,70,68,12525
420,"Górnik Zabrze",68,67,68,68,11546
467,"SD Eibar",68,69,68,68,29000
573,"Málaga CF",68,68,68,66,70000
580,"SV Elversberg",68,66,68,68,11500
634,"Fortuna Sittard",68,68,68,68,32500
687,"Columbus Crew",69,66,70,68,194000
691,"New England Revolution",68,69,70,65,170500
694,"Colorado Rapids",68,69,68,68,160000
708,"Hammarby IF",68,67,69,68,19000
717,"Alverca",68,69,66,68,8000
741,"Antalyaspor",69,73,69,70,31000
898,"FC St. Gallen",68,63,69,65,22850
980,"Daejeon Hana Citizen",68,69,68,68,12650
1719,"EC Vitória",69,68,70,70,67500
1746,"Empoli",68,66,68,67,125000
1786,"Randers FC",68,68,67,69,11000
1790,"Portsmouth",69,70,70,68,15000
1832,"Karlsruher SC",69,69,69,69,16842
1854,"Albacete Balompié",68,68,68,69,2500
1888,"Gil Vicente FC",68,68,68,70,22000
1961,"Cardiff City",68,68,67,67,20000
100087,"OH Leuven",69,63,69,70,35000
100135,"APOEL Nicosia FC",68,67,68,68,35000
100646,"Sparta Rotterdam",68,73,67,68,55750
101106,"Once Caldas",68,75,69,66,17000
110636,"Fortuna Düsseldorf",69,69,68,69,59300
110746,"Pogoń Szczecin",68,64,68,68,13280
110832,"Granada CF",68,69,69,64,50000
110908,"Catanzaro",68,69,67,66,30000
110912,"Padova",68,72,67,66,12045
110955,"Shanghai Shenhua",67,62,67,67,11450
110968,"Bolívar",68,69,69,66,24000
110986,"LDU Quito",69,68,68,68,36000
111013,"Sporting Cristal",68,69,69,67,31300
111014,"Universitario de Deportes",69,71,70,70,30530
111138,"Minnesota United FC",69,71,71,68,150000
111140,"Portland Timbers",69,69,70,69,201000
111715,"Tigre",68,67,68,67,12000
112124,"Juve Stabia",67,68,67,67,42150
112493,"Carrarese",68,68,68,67,25950
112516,"Tondela",68,73,66,67,7500
112828,"New York City FC",69,69,69,68,326500
112885,"Atlanta United FC",68,67,71,69,340000
112908,"Independiente del Valle",69,72,68,69,31998
112992,"Atlético Bucaramanga",68,70,68,68,10500
113149,"FC Cincinnati",69,76,69,68,226500
113888,"Qarabağ FK",69,69,70,69,28000
113974,"Spezia",69,67,68,68,60625
114161,"Austin FC",68,70,68,67,230000
114581,"Universidad Católica del Ecuador",68,69,67,67,25000
116005,"FC Carl Zeiss Jena",69,70,68,67,2000
116331,"SD Eibar",68,66,67,68,2000
131362,"FC Rosengård",69,69,70,68,1000
27,"Hansa Rostock",66,66,65,66,9850
33,"TSV 1860 München",66,66,65,65,5580
165,"SpVgg Greuther Fürth",67,69,68,67,26100
298,"Rosenborg BK",67,68,69,68,14000
417,"Molde FK",67,68,68,67,13000
531,"Preußen Münster",67,67,67,67,10300
710,"Djurgårdens IF",66,61,67,64,20000
711,"BK Häcken",67,65,68,66,16000
718,"Estrela da Amadora",66,66,66,65,15000
897,"FC Luzern",66,66,64,67,27000
919,"SK Brann",67,67,68,65,10000
1793,"Reading",66,67,66,66,7000
1862,"FC Lausanne-Sport",67,63,67,68,35800
1904,"NAC Breda",67,68,67,67,47750
1913,"sc Heerenveen",67,69,69,66,75000
1971,"Excelsior",67,63,66,68,26000
2038,"Avellino",67,70,66,67,12000
15005,"Zulte Waregem",67,68,68,66,35000
15012,"Cultural Leonesa",67,66,67,66,2500
101108,"Olimpia Asunción",66,68,63,66,40000
110069,"CD Mirandés",66,66,66,66,2500
110747,"Cracovia",67,67,68,67,11716
110981,"Barcelona SC Guayaquil",66,66,66,67,40998
110990,"Deportivo Táchira",66,66,66,65,18200
111065,"Real Salt Lake",67,66,69,66,171500
111083,"Korona Kielce",66,65,66,67,8586
111117,"Fatih Karagümrük S.K.",66,69,65,67,17000
111276,"USL Dunkerque",67,67,66,69,22000
111329,"Guaraní (Paraguay)",66,67,65,65,7500
111334,"Melgar FBC",67,71,66,67,22750
111594,"GAIS",66,70,65,66,4000
111651,"Toronto FC",66,61,69,64,218500
112540,"Shanghai Port",67,74,65,66,17680
112606,"Orlando City SC",67,68,67,71,225500
112868,"Boston River",66,65,66,65,17250
112965,"Central Córdoba",66,65,65,66,8500
113037,"Al Riyadh",66,70,66,61,5500
114385,"CFR Cluj",67,67,67,66,12065
114554,"FC Andorra",67,67,65,67,2500
115472,"Deportivo Riestra",66,69,65,64,5000
115536,"Cerro Largo",67,68,67,67,8000
116360,"Chengdu Rongcheng F.C.",66,67,68,64,10550
131174,"Eyüpspor",66,67,67,64,25800
132231,"RAAL La Louvière",67,62,67,67,9000
4,"Bolton Wanderers",66,66,67,66,8000
62,"En Avant Guingamp",67,68,65,67,35000
256,"Austria Wien",67,64,68,67,42000
270,"Silkeborg IF",66,70,65,66,11000
272,"Odense Boldklub",66,67,66,63,8000
294,"ESTAC Troyes",67,67,66,67,40000
319,"IFK Göteborg",66,66,68,64,15000
433,"AIK",67,65,67,67,17000
503,"Dynamo Dresden",67,68,67,67,19750
688,"D.C. United",66,66,65,66,277000
689,"New York Red Bulls",66,75,67,65,261000
695,"FC Dallas",66,70,66,65,168000
700,"IF Elfsborg",66,65,66,68,13000
1443,"Viborg FF",67,65,67,68,11000
1474,"Pohang Steelers",66,67,65,67,12800
1788,"FC Nordsjælland",67,67,67,67,18000
1894,"AD Ceuta",67,66,66,67,2500
1926,"Blackpool",66,65,67,65,6000
1929,"Plymouth Argyle",66,62,66,66,12500
1933,"Wycombe Wanderers",66,67,65,66,6500
1939,"Huddersfield Town",67,65,66,66,8000
100634,"Heracles Almelo",66,66,66,66,32000
100852,"CD Castellón",67,67,68,66,2600
101099,"América de Cali",67,62,66,68,35500
110206,"GKS Katowice",66,66,67,66,8868
110500,"Eintracht Braunschweig",67,67,67,67,10520
110720,"Blau-Weiß Linz",66,69,65,65,6500
110740,"Reggiana",66,67,65,66,26250
110751,"Universitatea Cluj",67,67,67,67,7475
110752,"FC Botoșani",66,63,66,65,3975
110770,"FC Sion",67,64,67,66,22000
110839,"SD Huesca",67,68,67,66,4500
110955,"Shanghai Shenhua",67,62,67,67,11450
110980,"Colo-Colo",66,68,68,64,49998
110991,"Carabobo FC",66,61,67,66,11100
111086,"Piast Gliwice",66,65,67,66,8120
111088,"Radomiak Radom",66,66,67,66,8446
111091,"Lechia Gdańsk",66,66,67,64,5378
111097,"Motor Lublin",66,66,67,65,9568
111139,"CF Montréal",66,67,65,63,189000
111273,"Red Star FC (FRANCE)",67,66,67,67,19000
111328,"Palestino",66,64,67,65,15750
111433,"Mantova",67,68,67,65,22575
111657,"Frosinone",66,66,66,66,40000
111822,"Wolfsberger AC",67,65,67,67,15000
111928,"San Jose Earthquakes",66,68,66,63,162800
112072,"Mjällby AIF",67,67,69,71,7000
112115,"Gangwon FC",66,65,67,66,10580
112124,"Juve Stabia",67,68,67,67,42150
112134,"Philadelphia Union",66,68,66,65,206000
112531,"Deportes Iquique",67,68,67,69,17250
113057,"Al Fayha",66,69,66,67,11580
113147,"Entella",67,67,66,66,10050
131123,"Alhama FC",67,63,67,65,1000
131447,"FC Annecy",66,66,65,66,17000
132629,"DUX Logroño",67,66,68,63,1000
162,"Energie Cottbus",65,64,66,64,2200
322,"Grasshopper Club Zürich",64,64,60,65,11500
418,"Tromsø IL",65,62,65,66,6000
487,"VfL Osnabrück",65,65,65,65,8015
506,"Erzgebirge Aue",64,67,64,64,6770
523,"1. FC Saarbrücken",65,65,64,65,5100
526,"Rot-Weiß Essen",65,65,66,65,6100
621,"Livingston",64,61,64,66,3300
645,"FC Volendam",65,66,65,65,23750
822,"Vejle BK",65,64,64,66,4000
894,"FC Zürich",65,63,65,62,20900
1478,"Jeju SK FC",64,59,68,62,9780
1715,"FC Thun",66,63,67,66,8100
1797,"Rotherham United",65,65,64,63,7500
